selection_group,rank,pair_id,wavelength_nm,fisher,crlb_nm
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,485.0,51.38169554884187,0.13950693082038143
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,490.0,52.95711464125378,0.13741617087688165
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,495.0,51.90144637775686,0.1388066489211132
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,500.0,46.759953967261026,0.1462389171257759
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,505.0,52.480961024602664,0.13803814370784076
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,510.0,51.832299730778914,0.13889920525651958
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,515.0,52.91436343713987,0.13747167112555217
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,520.0,52.23084477661772,0.13836825849441853
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,525.0,45.01193404585872,0.14905143551389313
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,530.0,51.154677745174695,0.1398161449404285
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,535.0,48.99273056333769,0.1428677408828133
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,540.0,53.07359298925189,0.13726529735159598
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,545.0,49.89323043824727,0.14157259345570947
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,550.0,38.82968310314944,0.16047895102279472
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,555.0,46.57789926769847,0.14652443362690537
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,560.0,44.07443554218889,0.1506283158974641
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,565.0,46.347839350596374,0.14688764010661273
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,570.0,44.62004802042231,0.1497045442050458
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,575.0,33.29863785156225,0.17329529269262814
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,580.0,38.558528964009525,0.16104222845152336
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,585.0,36.128249157295336,0.16637058447235098
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,590.0,37.163499676702244,0.164036954527856
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,595.0,35.644557699270734,0.16749559308559828
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,600.0,27.542004980127864,0.19054704746970058
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,605.0,31.321821855739323,0.17868022571592682
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,610.0,29.374402578797742,0.18450811785466303
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,615.0,28.02377929862223,0.18890203999187682
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,620.0,26.66111519831402,0.19366932740606996
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,625.0,21.26672784114715,0.21684512517789187
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,630.0,23.716296335663788,0.20534142232083832
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,635.0,22.595211678172653,0.21037386837062116
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,640.0,21.740019021271507,0.21447172267653722
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,645.0,20.366274526724013,0.22158696198259062
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,650.0,16.88631058773712,0.24335070767713834
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,655.0,18.85925202169853,0.2302702157761401
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,660.0,17.95816861499491,0.23597662069123188
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,665.0,17.109805456561666,0.24175611292161633
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,670.0,16.140227193185826,0.24891162390998914
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,675.0,13.300039288855345,0.2742038435480075
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,680.0,15.163951604612347,0.25679928200739743
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,685.0,14.50401804418939,0.2625764874142807
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,690.0,14.246290271143515,0.264940959942836
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,695.0,13.476471225743019,0.2724030123118879
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,700.0,15.090670211200644,0.2574220448840246
top,3,z06_c2_s2_hp1__z06_c2_s2_hp1,400.0,65.66713201325749,0.12340307322152237
top,3,z06_c2_s2_hp1__z06_c2_s2_hp1,405.0,25.720539383439966,0.19717868413929687
top,3,z06_c2_s2_hp1__z06_c2_s2_hp1,410.0,27.403195602117492,0.19102904065023762
top,3,z06_c2_s2_hp1__z06_c2_s2_hp1,415.0,26.98051037693846,0.19251958623951262
top,3,z06_c2_s2_hp1__z06_c2_s2_hp1,420.0,27.764407353812928,0.18978233957374926
top,3,z06_c2_s2_hp1__z06_c2_s2_hp1,425.0,27.555793773077685,0.1904993670694349
top,3,z06_c2_s2_hp1__z06_c2_s2_hp1,430.0,29.381088994032716,0.18448712189892627
top,3,z06_c2_s2_hp1__z06_c2_s2_hp1,435.0,32.13112226121358,0.1764156270452508
top,3,z06_c2_s2_hp1__z06_c2_s2_hp1,440.0,34.02381114270224,0.1714385640593726
top,3,z06_c2_s2_hp1__z06_c2_s2_hp1,445.0,36.16282446682007,0.16629103191879996
top,3,z06_c2_s2_hp1__z06_c2_s2_hp1,450.0,38.41893873978506,0.16133452619658672
top,3,z06_c2_s2_hp1__z06_c2_s2_hp1,455.0,41.77676021661507,0.15471507111043678
top,3,z06_c2_s2_hp1__z06_c2_s2_hp1,460.0,44.33681698296132,0.15018195187145103
top,3,z06_c2_s2_hp1__z06_c2_s2_hp1,465.0,47.57250871161189,0.14498463275782944
top,3,z06_c2_s2_hp1__z06_c2_s2_hp1,470.0,49.61298334060875,0.14197187843428227
top,3,z06_c2_s2_hp1__z06_c2_s2_hp1,475.0,48.791803846290605,0.143161606363338
top,3,z06_c2_s2_hp1__z06_c2_s2_hp1,480.0,53.522504629239364,0.13668843961771518
top,3,z06_c2_s2_hp1__z06_c2_s2_hp1,485.0,52.93019868506647,0.13745110573102803
top,3,z06_c2_s2_hp1__z06_c2_s2_hp1,490.0,56.32347778467478,0.13324633377602094
top,3,z06_c2_s2_hp1__z06_c2_s2_hp1,495.0,57.314105568083605,0.13208978714997247
top,3,z06_c2_s2_hp1__z06_c2_s2_hp1,500.0,48.451245418326984,0.14366385886256886
