system,truth_nm,estimate_nm,error_nm,confidence,repeat
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,432.0,431.45082548667204,-0.5491745133279551,0.045436636506437436,13
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,432.0,431.55640939892214,-0.4435906010778581,0.0518427636181034,13
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,432.0,431.4107806594914,-0.5892193405085777,0.047658797356447895,13
double_helix,432.0,431.664834596352,-0.3351654036479772,0.12069299322248472,14
best_single_helix,432.0,431.3645905406959,-0.6354094593041282,0.1085753105442985,14
original_dual_plus_minus,432.0,431.88912846508833,-0.11087153491166646,0.04740907257118441,14
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,432.0,431.34687932908173,-0.6531206709182698,0.05100751797415182,14
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,432.0,431.55874183241224,-0.4412581675877618,0.05263018722429923,14
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,432.0,431.48546863569385,-0.5145313643061513,0.0486219863278339,14
double_helix,432.0,431.80387577047344,-0.1961242295265606,0.09794730084564393,15
best_single_helix,432.0,431.6407796681176,-0.35922033188239766,0.07719381276371692,15
original_dual_plus_minus,432.0,432.0791926245973,0.07919262459728316,0.031229116904287223,15
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,432.0,431.5083225647097,-0.49167743529028485,0.04006458412978218,15
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,432.0,431.7438619622076,-0.25613803779242517,0.04235547978428936,15
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,432.0,431.6753865705587,-0.32461342944128546,0.036466459545704634,15
double_helix,432.0,431.59614328465864,-0.40385671534136236,0.13730122971704362,16
best_single_helix,432.0,431.58271860889937,-0.4172813911006301,0.09208460410492308,16
original_dual_plus_minus,432.0,431.6563822679824,-0.3436177320176057,0.05947059581214472,16
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,432.0,431.80783748444014,-0.19216251555985764,0.03205716034335506,16
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,432.0,431.6197703269222,-0.38022967307779254,0.05389847736997935,16
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,432.0,431.4815808333469,-0.5184191666530751,0.043088478523021015,16
double_helix,432.0,431.91486192081106,-0.0851380791889369,0.0833156206989732,17
best_single_helix,432.0,431.38989952480284,-0.6101004751971573,0.10442657413655462,17
original_dual_plus_minus,432.0,431.6757171001367,-0.32428289986330583,0.05991317821045938,17
