pair_id,channel_A_id,channel_A_zone_count,channel_A_charge_start,channel_A_charge_step,channel_A_handedness,channel_B_id,channel_B_zone_count,channel_B_charge_start,channel_B_charge_step,channel_B_handedness,channel_redundancy,channel_pearson_redundancy,mirror_aligned_redundancy,spectral_derivative_similarity,median_fisher,median_crlb_nm,gain_DH,gain_SH,delta_F_DH,delta_F_SH
z04_c0_s1_hm1__z06_c1_s1_hm1,z04_c0_s1_hm1,4,0,1,-1,z06_c1_s1_hm1,6,1,1,-1,0.607523184330737,0.4651501997083914,0.503562681743356,0.09565237621379802,37.61558441696529,0.16304823171570149,1.0301647275248105,0.7131924950129427,1.1014392400626392,-15.126956594045573
z04_c0_s1_hm1__z06_c1_s1_hp1,z04_c0_s1_hm1,4,0,1,-1,z06_c1_s1_hp1,6,1,1,1,0.4405043171566041,0.2495595671419726,0.3860294912468459,-0.008752018377398614,36.40938764511112,0.1657270167181005,0.9971310424690484,0.6903229716882633,-0.10475753179153457,-16.333153365899747
z04_c0_s1_hm1__z06_c1_s2_hm1,z04_c0_s1_hm1,4,0,1,-1,z06_c1_s2_hm1,6,1,2,-1,0.42721164079963186,0.21558396130433824,0.30826216198687184,0.003793628375832236,38.831818515082716,0.1604745384895744,1.0634733012905402,0.7362523263142734,2.3176733381800645,-13.910722495928148
z04_c0_s1_hm1__z06_c1_s2_hp1,z04_c0_s1_hm1,4,0,1,-1,z06_c1_s2_hp1,6,1,2,1,0.43783024197719134,0.22897001505508774,0.3057598079570004,0.0198841700664355,39.24120089430335,0.1596352714968299,1.074684911948198,0.7440142272650668,2.7270557174006953,-13.501340116707517
z04_c0_s1_hm1__z06_c1_s3_hm1,z04_c0_s1_hm1,4,0,1,-1,z06_c1_s3_hm1,6,1,3,-1,0.4450785903657069,0.21615906638383378,0.27959463238471843,0.023414295346124984,34.2817553111126,0.17079237375626607,0.9388623270523071,0.6499830052548231,-2.2323898657900543,-18.460785699898267
z04_c0_s1_hm1__z06_c1_s3_hp1,z04_c0_s1_hm1,4,0,1,-1,z06_c1_s3_hp1,6,1,3,1,0.4419448317074385,0.20611854923553155,0.29355622455477715,0.015558191930081268,34.15706931208698,0.17110381761721094,0.9354475956264023,0.647618955350599,-2.3570758648156698,-18.585471698923882
z04_c0_s1_hm1__z06_c2_s1_hm1,z04_c0_s1_hm1,4,0,1,-1,z06_c2_s1_hm1,6,2,1,-1,0.5549338372027288,0.3927936805564849,0.41493286583267275,0.1029069795288512,37.90000769065525,0.16243527609582403,1.0379541272851498,0.7185851679528108,1.385862513752599,-14.842533320355614
z04_c0_s1_hm1__z06_c2_s1_hp1,z04_c0_s1_hm1,4,0,1,-1,z06_c2_s1_hp1,6,2,1,1,0.38959459276472935,0.17507483192612647,0.3355111236699292,-0.0035550802656006616,37.58694282453569,0.16311034200386149,1.0293803303469267,0.7126494496480328,1.0727976476330383,-15.155598186475174
z04_c0_s1_hm1__z06_c2_s2_hm1,z04_c0_s1_hm1,4,0,1,-1,z06_c2_s2_hm1,6,2,2,-1,0.3511115092723096,0.1112923865191272,0.2051664277544764,-0.014009410918110097,42.72609752876552,0.15298659765682185,1.1701245454814124,0.810087961439813,6.21195235186287,-10.016443482245343
z04_c0_s1_hm1__z06_c2_s2_hp1,z04_c0_s1_hm1,4,0,1,-1,z06_c2_s2_hp1,6,2,2,1,0.3635423722081497,0.13119135322201936,0.2087928843989846,0.002967957248834924,43.06295368450006,0.15238706081789583,1.1793499060670853,0.8164747632373262,6.548808507597407,-9.679587326510806
z04_c0_s1_hm1__z06_c2_s3_hm1,z04_c0_s1_hm1,4,0,1,-1,z06_c2_s3_hm1,6,2,3,-1,0.35691000203617285,0.1032175657598943,0.17119943976524424,0.011044136595866475,36.001265695578596,0.16666373689304426,0.9859539507541729,0.6825849685183493,-0.512879481324056,-16.74127531543227
