candidate_id,zone_count,charge_start,charge_step,handedness,median_fisher,median_crlb_nm,mean_adjacent_psf_similarity,max_adjacent_psf_similarity
z08_c1_s3_hp1,8,1,3,1,27.182239342064584,0.19180387808211571,0.9768922328948975,0.9931333661079407
z08_c2_s1_hm1,8,2,1,-1,39.95062508146007,0.15821155919552946,0.9619478583335876,0.9919390678405762
z08_c2_s1_hp1,8,2,1,1,46.86110831829864,0.1460809962528377,0.9615592956542969,0.9887295365333557
z08_c2_s2_hm1,8,2,2,-1,44.48618251629111,0.14992961657303752,0.9674583673477173,0.9907815456390381
z08_c2_s2_hp1,8,2,2,1,45.2155520810329,0.14871544707306528,0.9672436118125916,0.9907802939414978
z08_c2_s3_hm1,8,2,3,-1,29.487387624976805,0.18415429428012492,0.9745693206787109,0.992602527141571
z08_c2_s3_hp1,8,2,3,1,29.64619408377044,0.18366040017841187,0.9745901823043823,0.9926959276199341
z10_c0_s1_hm1,10,0,1,-1,29.245998742738912,0.18491271341938537,0.9707416296005249,0.9919816255569458
z10_c0_s1_hp1,10,0,1,1,34.317566203144786,0.17070323830232778,0.9704723358154297,0.9923890829086304
z10_c0_s2_hm1,10,0,2,-1,28.93674520359133,0.1858981894060604,0.978733241558075,0.9942519664764404
z10_c0_s2_hp1,10,0,2,1,29.935410163840153,0.1827710443811818,0.9782392382621765,0.9942615032196045
z10_c0_s3_hm1,10,0,3,-1,22.885084991058147,0.2090372749313808,0.980503499507904,0.9949992895126343
z10_c0_s3_hp1,10,0,3,1,22.918501993799026,0.2088848228346756,0.9805184602737427,0.994788646697998
z10_c1_s1_hm1,10,1,1,-1,37.174595818081826,0.16401247123430512,0.9616061449050903,0.9914252161979675
z10_c1_s1_hp1,10,1,1,1,43.15603961440107,0.15222262556359964,0.9614241123199463,0.9902378916740417
z10_c1_s2_hm1,10,1,2,-1,31.102138336997953,0.1793101507385863,0.9751900434494019,0.9936791658401489
z10_c1_s2_hp1,10,1,2,1,32.31710634376316,0.17590726097428938,0.974707841873169,0.993658185005188
z10_c1_s3_hm1,10,1,3,-1,25.70544749255008,0.19723655830267225,0.978080689907074,0.994774341583252
z10_c1_s3_hp1,10,1,3,1,25.9833931833969,0.1961787971708299,0.9781158566474915,0.9945538640022278
z10_c2_s1_hm1,10,2,1,-1,39.41936880212573,0.15927410268583578,0.9604924917221069,0.9908648133277893
z10_c2_s1_hp1,10,2,1,1,46.904020153409334,0.1460141572268407,0.9600157141685486,0.9921244382858276
z10_c2_s2_hm1,10,2,2,-1,37.977462503593976,0.16226954865427548,0.9709332585334778,0.9925166368484497
z10_c2_s2_hp1,10,2,2,1,39.326608834924095,0.1594618325613363,0.9705829620361328,0.9925203323364258
z10_c2_s3_hm1,10,2,3,-1,27.88167651982561,0.1893828107369341,0.9765506982803345,0.9945986270904541
z10_c2_s3_hp1,10,2,3,1,28.168054531840163,0.18841764598211805,0.9765791296958923,0.9944946765899658
z12_c0_s1_hm1,12,0,1,-1,28.27886487863749,0.1880481276491435,0.972063422203064,0.9929455518722534
z12_c0_s1_hp1,12,0,1,1,34.78238422835809,0.169558796697326,0.9715994000434875,0.9933134317398071
z12_c0_s2_hm1,12,0,2,-1,29.663853602326512,0.18360572358208171,0.9779736995697021,0.9941383600234985
z12_c0_s2_hp1,12,0,2,1,30.32274864640346,0.1815999468275129,0.9778218865394592,0.9941464066505432
z12_c0_s3_hm1,12,0,3,-1,20.008860007137162,0.2235572852543122,0.9812539219856262,0.9961792230606079
z12_c0_s3_hp1,12,0,3,1,20.09156698725392,0.22309667370777714,0.9812542200088501,0.9960110783576965
z12_c1_s1_hm1,12,1,1,-1,35.66433624090873,0.1674491422282424,0.9645978212356567,0.9909639954566956
z12_c1_s1_hp1,12,1,1,1,41.59499671752508,0.1550527427076339,0.9643357396125793,0.9930298924446106
z12_c1_s2_hm1,12,1,2,-1,29.8137491759974,0.1831435816813573,0.9763514399528503,0.9943066835403442
z12_c1_s2_hp1,12,1,2,1,30.48991004672465,0.1811014503854291,0.9760850667953491,0.9943054914474487
z12_c1_s3_hm1,12,1,3,-1,22.162896341037914,0.2124157632752947,0.9794111251831055,0.9959555864334106
z12_c1_s3_hp1,12,1,3,1,22.487974686150736,0.21087487013148312,0.9794245362281799,0.9959867000579834
z12_c2_s1_hm1,12,2,1,-1,38.67881418810539,0.16079162505759914,0.9595265984535217,0.9893078207969666
z12_c2_s1_hp1,12,2,1,1,47.969971030901476,0.14438273753780087,0.9595178365707397,0.9926794767379761
z12_c2_s2_hm1,12,2,2,-1,34.09911283196925,0.1712491639926232,0.9746291637420654,0.9939653277397156
z12_c2_s2_hp1,12,2,2,1,34.85714711763494,0.1693768611223074,0.9742915630340576,0.9939658641815186
z12_c2_s3_hm1,12,2,3,-1,25.62331953609942,0.1975523970882533,0.9782044887542725,0.9959243535995483
z12_c2_s3_hp1,12,2,3,1,25.786636639965863,0.1969258141621635,0.9782868027687073,0.9960224032402039
