system,truth_nm,estimate_nm,confidence,repeat
dual_single_helix,597.0,595.0,0.2403552769230479,12
single_double_helix,597.0,595.0,0.34340221967313206,12
dual_single_helix,597.0,595.0,0.24153324870345946,13
single_double_helix,597.0,595.0,0.32778637337502575,13
dual_single_helix,597.0,595.0,0.25735441061426567,14
single_double_helix,597.0,595.0,0.2987324406915262,14
dual_single_helix,597.0,595.0,0.24104495530045744,15
single_double_helix,597.0,595.0,0.32504566232406096,15
dual_single_helix,597.0,595.0,0.24946210391136805,16
single_double_helix,597.0,595.0,0.3197828771919091,16
dual_single_helix,597.0,595.0,0.2735062116148654,17
single_double_helix,597.0,595.0,0.30891482861856023,17
dual_single_helix,597.0,595.0,0.19109686227465833,18
single_double_helix,597.0,595.0,0.32244816598774706,18
dual_single_helix,597.0,595.0,0.230660573206603,19
single_double_helix,597.0,595.0,0.3099251114985913,19
dual_single_helix,652.0,650.0,0.1312245007025801,0
single_double_helix,652.0,650.0,0.18177463469254837,0
dual_single_helix,652.0,650.0,0.13555103830372275,1
single_double_helix,652.0,650.0,0.15456253901491193,1
dual_single_helix,652.0,650.0,0.06894664767950008,2
single_double_helix,652.0,650.0,0.1897907189135871,2
dual_single_helix,652.0,650.0,0.14584767923833394,3
single_double_helix,652.0,650.0,0.16205397131857965,3
dual_single_helix,652.0,650.0,0.10333853620174194,4
single_double_helix,652.0,650.0,0.16814887626834588,4
dual_single_helix,652.0,650.0,0.09679085740431158,5
single_double_helix,652.0,650.0,0.18817133098368896,5
dual_single_helix,652.0,650.0,0.1266547113199835,6
single_double_helix,652.0,650.0,0.2070975058775261,6
dual_single_helix,652.0,650.0,0.10880237230429472,7
single_double_helix,652.0,650.0,0.18871849342708466,7
dual_single_helix,652.0,650.0,0.1316540326068893,8
single_double_helix,652.0,650.0,0.1739970429769758,8
dual_single_helix,652.0,650.0,0.1107863636055298,9
single_double_helix,652.0,650.0,0.19999680980789655,9
dual_single_helix,652.0,650.0,0.0743545571296005,10
single_double_helix,652.0,650.0,0.19944686035671128,10
dual_single_helix,652.0,650.0,0.14759810777634186,11
single_double_helix,652.0,650.0,0.20875653469930142,11
dual_single_helix,652.0,650.0,0.09001795621683732,12
single_double_helix,652.0,650.0,0.19822719997663082,12
dual_single_helix,652.0,650.0,0.09322901570049717,13
single_double_helix,652.0,650.0,0.21244804441173534,13
dual_single_helix,652.0,650.0,0.13897635685882007,14
single_double_helix,652.0,650.0,0.15611454448804207,14
dual_single_helix,652.0,650.0,0.13088373614739782,15
single_double_helix,652.0,650.0,0.13974543356494765,15
dual_single_helix,652.0,650.0,0.10879836899843708,16
single_double_helix,652.0,650.0,0.16729672761159864,16
dual_single_helix,652.0,650.0,0.10578416399255172,17
single_double_helix,652.0,650.0,0.16689616074465558,17
dual_single_helix,652.0,650.0,0.13545955665588594,18
single_double_helix,652.0,650.0,0.19966406410895232,18
dual_single_helix,652.0,650.0,0.1366922092455525,19
single_double_helix,652.0,650.0,0.1948255042781316,19
dual_single_helix,687.0,685.0,0.07027532033920397,0
single_double_helix,687.0,685.0,0.19972109822604558,0
dual_single_helix,687.0,685.0,0.11237087057167264,1
single_double_helix,687.0,685.0,0.16254612377979535,1
dual_single_helix,687.0,685.0,0.08232255233628617,2
single_double_helix,687.0,685.0,0.1506000088340102,2
dual_single_helix,687.0,685.0,0.09379203728206703,3
single_double_helix,687.0,685.0,0.16195710256047524,3
dual_single_helix,687.0,685.0,0.09461707804052012,4
single_double_helix,687.0,685.0,0.13597727312075802,4
dual_single_helix,687.0,685.0,0.11091412613126884,5
single_double_helix,687.0,685.0,0.18692375865020078,5
dual_single_helix,687.0,685.0,0.04377802878835566,6
single_double_helix,687.0,685.0,0.177004866908963,6
dual_single_helix,687.0,685.0,0.08351054348299483,7
single_double_helix,687.0,685.0,0.18748892883717877,7
dual_single_helix,687.0,685.0,0.1061213745351618,8
single_double_helix,687.0,685.0,0.16397216649500435,8
dual_single_helix,687.0,685.0,0.08527372187052297,9
single_double_helix,687.0,685.0,0.1792594645735529,9
dual_single_helix,687.0,685.0,0.07001473841264927,10
single_double_helix,687.0,685.0,0.18985905671927208,10
dual_single_helix,687.0,685.0,0.07477465740448103,11
single_double_helix,687.0,685.0,0.16747774241752245,11
